no,ponpes,text_combined,sentimen_lexicon,aspek_manual,text_refined,tokens,predicted_aspek,predicted_aspek_label,predicted_sentimen_lexicon
17,PPM AL-Ikhlash Lampoko,masya allah luar biasa ustad moga berkah aamiin peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,Positif,Umum,Masya allah luar biasa ustad moga berkah aamiin peluang beasiswa tunisia santri al ikhlash lampoko sulawesi barat,"['masya', 'allah', 'ustad', 'moga', 'berkah', 'aamiin', 'peluang', 'beasiswa', 'tunisia', 'santri', 'al', 'ikhlash', 'lampoko', 'sulawesi', 'barat']",6,Akademik,positif
18,PPM AL-Ikhlash Lampoko,semangat sukses nak arya aamiin ananda raydarya shabrafif laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Positif,Umum,Semangat sukses nak arya aamiin ananda raydarya shabrafif laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,"['semangat', 'sukses', 'nak', 'arya', 'aamiin', 'ananda', 'raydarya', 'shabrafif', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
19,PPM AL-Ikhlash Lampoko,selamat nak moga amanah alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual,Selamat nak moga amanah alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,"['selamat', 'nak', 'moga', 'amanah', 'alhamdulillah', 'selamat', 'lubnah', 'maysuri', 'asrafat', 'ketua', 'ospi', 'putri', 'periode']",1,Fasilitas,positif
20,PPM AL-Ikhlash Lampoko,alhamdulillah selamat tugas nak alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Umum,Alhamdulillah selamat tugas nak alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,"['alhamdulillah', 'selamat', 'tugas', 'nak', 'alhamdulillah', 'selamat', 'lubnah', 'maysuri', 'asrafat', 'ketua', 'ospi', 'putri', 'periode']",1,Fasilitas,positif
21,PPM AL-Ikhlash Lampoko,mantap pilih milu alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual,Mantap pilih milu alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,"['mantap', 'pilih', 'milu', 'alhamdulillah', 'selamat', 'lubnah', 'maysuri', 'asrafat', 'ketua', 'ospi', 'putri', 'periode']",1,Fasilitas,positif
22,PPM AL-Ikhlash Lampoko,selamat nak lubnah maysuri doa selalu panjang umur alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,Positif,Motivasi/Spiritual,Selamat nak lubnah maysuri doa selalu panjang umur alhamdulillah selamat lubnah maysuri asrafat ketua ospi putri periode,"['selamat', 'nak', 'lubnah', 'maysuri', 'doa', 'umur', 'alhamdulillah', 'selamat', 'lubnah', 'maysuri', 'asrafat', 'ketua', 'ospi', 'putri', 'periode']",1,Fasilitas,positif
23,PPM AL-Ikhlash Lampoko,selamat nak muslim pilih jadi ketua ospi tahun rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual,Selamat nak muslim pilih jadi ketua ospi tahun rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,"['selamat', 'nak', 'muslim', 'pilih', 'ketua', 'ospi', 'rangkul', 'teman', 'temanta', 'saudarata', 'nak', 'biar', 'bangga', 'alumni', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'alhamdulillah', 'selamat', 'muslim', 'santri', 'kelas', 'xi', 'merdeka', 'ketua', 'ospi', 'putra', 'periode']",1,Fasilitas,positif
24,PPM AL-Ikhlash Lampoko,selamat atas nama muslim ketua ospi putra alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual,Selamat atas nama muslim ketua ospi putra alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,"['selamat', 'nama', 'muslim', 'ketua', 'ospi', 'putra', 'alhamdulillah', 'selamat', 'muslim', 'santri', 'kelas', 'xi', 'merdeka', 'ketua', 'ospi', 'putra', 'periode']",1,Fasilitas,positif
25,PPM AL-Ikhlash Lampoko,bangga sekali teman pondok pesantren modern al ikhlas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual,Bangga sekali teman pondok pesantren modern al ikhlas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,"['bangga', 'teman', 'pondok', 'pesantren', 'modern', 'al', 'ikhlas', 'alhamdulillah', 'selamat', 'muslim', 'santri', 'kelas', 'xi', 'merdeka', 'ketua', 'ospi', 'putra', 'periode']",1,Fasilitas,positif
26,PPM AL-Ikhlash Lampoko,selamat nak muslim pilih jadi ketua ospi tahun xd rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual,Selamat nak muslim pilih jadi ketua ospi tahun xd rangkul semua teman temanta saudarata nak biar bangga jadi bagi alumni pondok pesantren modern al ikhlash alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,"['selamat', 'nak', 'muslim', 'pilih', 'ketua', 'ospi', 'xd', 'rangkul', 'teman', 'temanta', 'saudarata', 'nak', 'biar', 'bangga', 'alumni', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'alhamdulillah', 'selamat', 'muslim', 'santri', 'kelas', 'xi', 'merdeka', 'ketua', 'ospi', 'putra', 'periode']",1,Fasilitas,positif
27,PPM AL-Ikhlash Lampoko,selamat nak muslim moga berkah amanah jalan tugas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,Positif,Motivasi/Spiritual,Selamat nak muslim moga berkah amanah jalan tugas alhamdulillah selamat muslim santri kelas xi merdeka ketua ospi putra periode,"['selamat', 'nak', 'muslim', 'moga', 'berkah', 'amanah', 'jalan', 'tugas', 'alhamdulillah', 'selamat', 'muslim', 'santri', 'kelas', 'xi', 'merdeka', 'ketua', 'ospi', 'putra', 'periode']",1,Fasilitas,positif
28,PPM AL-Ikhlash Lampoko,assalamualaikum warahmatullahi wabarakatu sembah pondok pesantren modern al ikhlas doa kalian jadi orang baik sukses pilih ketua ospi putri,Positif,Kegiatan Pondok,Assalamualaikum warahmatullahi wabarakatu sembah pondok pesantren modern al ikhlas doa kalian jadi orang baik sukses pilih ketua ospi putri,"['assalamualaikum', 'warahmatullahi', 'wabarakatu', 'sembah', 'pondok', 'pesantren', 'modern', 'al', 'ikhlas', 'doa', 'orang', 'sukses', 'pilih', 'ketua', 'ospi', 'putri']",1,Fasilitas,positif
29,PPM AL-Ikhlash Lampoko,sukses selalu dik pilih ketua ospi putri,Positif,Motivasi/Spiritual,Sukses selalu dik pilih ketua ospi putri,"['sukses', 'dik', 'pilih', 'ketua', 'ospi', 'putri']",1,Fasilitas,netral
30,PPM AL-Ikhlash Lampoko,seht sllu ank santri bersma bina pilih ketua ospi putri,Negatif,Motivasi/Spiritual,Seht sllu ank santri bersma bina pilih ketua ospi putri,"['seht', 'sllu', 'ank', 'santri', 'bersma', 'bina', 'pilih', 'ketua', 'ospi', 'putri']",9,Umum,negatif
31,PPM AL-Ikhlash Lampoko,masyaallah smoga mudah lancar nak ananda rafli hardiansyah laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Negatif,Umum,Masyaallah smoga mudah lancar nak ananda rafli hardiansyah laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,"['masyaallah', 'smoga', 'mudah', 'lancar', 'nak', 'ananda', 'rafli', 'hardiansyah', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
32,PPM AL-Ikhlash Lampoko,maasyaallah tabarakallah moga istiqomah nak ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Netral,Umum,Maasyaallah tabarakallah moga istiqomah nak ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,"['maasyaallah', 'tabarakallah', 'moga', 'istiqomah', 'nak', 'ananda', 'farham', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
33,PPM AL-Ikhlash Lampoko,masyaallah nanda farhan moga ttp istiqomah tembus jus ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,Positif,Umum,Masyaallah nanda farhan moga ttp istiqomah tembus jus ananda farham laksana tasmi al qur an pukul wita pondok pesantren modern al ikhlash,"['masyaallah', 'nanda', 'farhan', 'moga', 'ttp', 'istiqomah', 'tembus', 'jus', 'ananda', 'farham', 'laksana', 'tasmi', 'al', 'qur', 'an', 'wita', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash']",1,Fasilitas,positif
34,PPM AL-Ikhlash Lampoko,masya allah xd syukron ustadz xd jdi nang liat video xd sehatq semua anak soleh soleha selamat hari ibu,Positif,Kegiatan Pondok,Masya allah xd syukron ustadz xd jdi nang liat video xd sehatq semua anak soleh soleha selamat hari ibu,"['masya', 'allah', 'xd', 'syukron', 'ustadz', 'xd', 'jdi', 'nang', 'liat', 'video', 'xd', 'sehatq', 'anak', 'soleh', 'soleha', 'selamat']",0,Kualitas Guru,positif
35,PPM AL-Ikhlash Lampoko,masya allah sehat semua nak xd alhamdulillah selamat hari ibu,Positif,Kegiatan Pondok,Masya allah sehat semua nak xd alhamdulillah selamat hari ibu,"['masya', 'allah', 'sehat', 'nak', 'xd', 'alhamdulillah', 'selamat']",0,Kualitas Guru,positif
36,PPM AL-Ikhlash Lampoko,masyaallah terimakasih ustadz sehat selalu sama santri santriwati nya selamat hari ibu,Positif,Kegiatan Pondok,Masyaallah terimakasih ustadz sehat selalu sama santri santriwati nya selamat hari ibu,"['masyaallah', 'terimakasih', 'ustadz', 'sehat', 'santri', 'santriwati', 'nya', 'selamat']",6,Akademik,positif
37,PPM AL-Ikhlash Lampoko,masya allah amma yoyo smg sehat sll selamat hari ibu,Positif,Kegiatan Pondok,Masya allah amma yoyo smg sehat sll selamat hari ibu,"['masya', 'allah', 'amma', 'yoyo', 'smg', 'sehat', 'sll', 'selamat']",2,Lingkungan,positif
38,PPM AL-Ikhlash Lampoko,slmt libur nk smoga sht kembli nnti pondok santri ppm al ikhlash terima rapor kembali rumah,Positif,Umum,Slmt libur nk smoga sht kembli nnti pondok santri ppm al ikhlash terima rapor kembali rumah,"['slmt', 'libur', 'nk', 'smoga', 'sht', 'kembli', 'nnti', 'pondok', 'santri', 'ppm', 'al', 'ikhlash', 'terima', 'rapor', 'rumah']",1,Fasilitas,positif
39,PPM AL-Ikhlash Lampoko,selamat libur nk moga sht selalu ki ke pondok pesantren modern al ikhlas ,Positif,Umum,Selamat libur nk moga sht selalu ki ke pondok pesantren modern al ikhlas,"['selamat', 'libur', 'nk', 'moga', 'sht', 'ki', 'pondok', 'pesantren', 'modern', 'al', 'ikhlas']",1,Fasilitas,positif
40,PPM AL-Ikhlash Lampoko,moga sukses semuax yyasanx tambah maju aamiinyra pilih duta bahasa tutup festival mahluwa,Negatif,Prestasi,Moga sukses semuax yyasanx tambah maju aamiinyra pilih duta bahasa tutup festival mahluwa,"['moga', 'sukses', 'semuax', 'yyasanx', 'maju', 'aamiinyra', 'pilih', 'duta', 'bahasa', 'tutup', 'festival', 'mahluwa']",5,Prestasi,netral
41,PPM AL-Ikhlash Lampoko,terima kasih ustaz ustazah ppm al ikhlas lampoko beri ilmu kpd anak terus gerak maju siap putra putri km iman akhlak mulia aamiin dokumentasi lomba drama,Positif,Umum,Terima kasih ustaz ustazah ppm al ikhlas lampoko beri ilmu kpd anak terus gerak maju siap putra putri km iman akhlak mulia aamiin dokumentasi lomba drama,"['terima', 'kasih', 'ustaz', 'ustazah', 'ppm', 'al', 'ikhlas', 'lampoko', 'ilmu', 'kpd', 'anak', 'gerak', 'maju', 'putra', 'putri', 'km', 'iman', 'akhlak', 'mulia', 'aamiin', 'dokumentasi', 'lomba', 'drama']",1,Fasilitas,positif
42,PPM AL-Ikhlash Lampoko,sehat n sukses semua anak soleh dokumentasi lomba volleyball putra,Negatif,Kegiatan Pondok,Sehat n sukses semua anak soleh dokumentasi lomba volleyball putra,"['sehat', 'n', 'sukses', 'anak', 'soleh', 'dokumentasi', 'lomba', 'volleyball', 'putra']",1,Fasilitas,negatif
43,PPM AL-Ikhlash Lampoko,alhamdulillah moga bina bina ank ank santri sehat sllu sy orang tua santri rapat evaluasi bulan,Negatif,Motivasi/Spiritual,Alhamdulillah moga bina bina ank ank santri sehat sllu sy orang tua santri rapat evaluasi bulan,"['alhamdulillah', 'moga', 'bina', 'bina', 'ank', 'ank', 'santri', 'sehat', 'sllu', 'sy', 'orang', 'tua', 'santri', 'rapat', 'evaluasi']",9,Umum,netral
44,PPM AL-Ikhlash Lampoko, pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum,Pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,"['pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'lampoko', 'lepas', 'santri', 'alumni', 'lulus', 'al', 'azhar', 'mesir']",1,Fasilitas,positif
45,PPM AL-Ikhlash Lampoko,masya allah selamat buat ananda fatur reza moga sukses selalu pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum,Masya allah selamat buat ananda fatur reza moga sukses selalu pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,"['masya', 'allah', 'selamat', 'ananda', 'fatur', 'reza', 'moga', 'sukses', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'lampoko', 'lepas', 'santri', 'alumni', 'lulus', 'al', 'azhar', 'mesir']",1,Fasilitas,positif
46,PPM AL-Ikhlash Lampoko,masya allah moga lain bsa pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,Positif,Umum,Masya allah moga lain bsa pondok pesantren modern al ikhlash lampoko lepas santri alumni lulus al azhar mesir,"['masya', 'allah', 'moga', 'bsa', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'lampoko', 'lepas', 'santri', 'alumni', 'lulus', 'al', 'azhar', 'mesir']",1,Fasilitas,positif
47,PPM AL-Ikhlash Lampoko,selamat hari guru seluruh guru guru guru guru semua berkat bimbing hari kami sempat sama ustads ustadzah damping santri santriwati pondok pesantren modern al ikhlash moga nila ibadah sisi allah swt senantiasa limpah rahmat hidayah kita semua santri ppm al ikhlash gelar upacara ingat hari guru nasional,Positif,Kegiatan Pondok,Selamat hari guru seluruh guru guru guru guru semua berkat bimbing hari kami sempat sama ustads ustadzah damping santri santriwati pondok pesantren modern al ikhlash moga nila ibadah sisi allah swt senantiasa limpah rahmat hidayah kita semua santri ppm al ikhlash gelar upacara ingat hari guru nasional,"['selamat', 'guru', 'guru', 'guru', 'guru', 'guru', 'berkat', 'bimbing', 'ustads', 'ustadzah', 'damping', 'santri', 'santriwati', 'pondok', 'pesantren', 'modern', 'al', 'ikhlash', 'moga', 'nila', 'ibadah', 'sisi', 'allah', 'swt', 'senantiasa', 'limpah', 'rahmat', 'hidayah', 'santri', 'ppm', 'al', 'ikhlash', 'gelar', 'upacara', 'guru', 'nasional']",4,Pembinaan Karakter,positif
48,PPM AL-Ikhlash Lampoko,terima kasih guru guru hebat ppm al ikhlas lampoko jasa tiada tara moga sehat selalu panjang umur penuh keberhan aamiin selamat hari guru nasional tahun,Positif,Sosial,Terima kasih guru guru hebat ppm al ikhlas lampoko jasa tiada tara moga sehat selalu panjang umur penuh keberhan aamiin selamat hari guru nasional tahun,"['terima', 'kasih', 'guru', 'guru', 'hebat', 'ppm', 'al', 'ikhlas', 'lampoko', 'jasa', 'tiada', 'tara', 'moga', 'sehat', 'umur', 'penuh', 'keberhan', 'aamiin', 'selamat', 'guru', 'nasional']",7,Motivasi/Spiritual,positif
49,PPM AL-Ikhlash Lampoko,selamat sukses dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas,Selamat sukses dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,"['selamat', 'sukses', 'dzaka', 'al', 'karim', 'dhiaulhaq', 'hasil', 'rebut', 'medali', 'emas', 'kelas', 'u', 'putra', 'turnamen', 'taekwondo', 'kemenpora', 'cup', 'palu']",1,Fasilitas,positif
50,PPM AL-Ikhlash Lampoko,terima kasih atas support doa ustadz pondok dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas,Terima kasih atas support doa ustadz pondok dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,"['terima', 'kasih', 'support', 'doa', 'ustadz', 'pondok', 'dzaka', 'al', 'karim', 'dhiaulhaq', 'hasil', 'rebut', 'medali', 'emas', 'kelas', 'u', 'putra', 'turnamen', 'taekwondo', 'kemenpora', 'cup', 'palu']",1,Fasilitas,positif
51,PPM AL-Ikhlash Lampoko,alhamdulillah luar biasa nanda dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas,Alhamdulillah luar biasa nanda dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,"['alhamdulillah', 'nanda', 'dzaka', 'al', 'karim', 'dhiaulhaq', 'hasil', 'rebut', 'medali', 'emas', 'kelas', 'u', 'putra', 'turnamen', 'taekwondo', 'kemenpora', 'cup', 'palu']",1,Fasilitas,positif
52,PPM AL-Ikhlash Lampoko,anak nya kak ridwan samual ee saluut nak moga makin sukses depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas,Anak nya kak ridwan samual ee saluut nak moga makin sukses depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,"['anak', 'nya', 'kak', 'ridwan', 'samual', 'ee', 'saluut', 'nak', 'moga', 'sukses', 'dzaka', 'al', 'karim', 'dhiaulhaq', 'hasil', 'rebut', 'medali', 'emas', 'kelas', 'u', 'putra', 'turnamen', 'taekwondo', 'kemenpora', 'cup', 'palu']",1,Fasilitas,positif
53,PPM AL-Ikhlash Lampoko,masyaallah selamat yach nak moga lebih baik depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,Positif,Fasilitas,Masyaallah selamat yach nak moga lebih baik depan dzaka al karim dhiaulhaq hasil rebut medali emas kelas u putra turnamen taekwondo kemenpora cup palu,"['masyaallah', 'selamat', 'yach', 'nak', 'moga', 'dzaka', 'al', 'karim', 'dhiaulhaq', 'hasil', 'rebut', 'medali', 'emas', 'kelas', 'u', 'putra', 'turnamen', 'taekwondo', 'kemenpora', 'cup', 'palu']",1,Fasilitas,positif
